categorie,categorie_label,praxis_relevant,scor,regiune,npa,oras,adresa,titlu,tip_obiect,chirie_neta,nebenkosten,suprafata_utila,nr_imagini,lungime_descriere,url,folder
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1740.0,Berna (oraș),3004,Bern,"Strandweg 35, 3004 Bern","Strandweg 35, 3004 Bern - CHF 6’865 inkl. NK pro Monat",OFFICE,5920,945,355,14,1796,https://flatfox.ch/de/wohnung/strandweg-35-3004-bern/86109398/,B_buero_gewerbe/86109398-bern-355-355m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1736.0,Berna (oraș),3027,Bern,"Looslistrasse 15, 3027 Bern","Looslistrasse 15, 3027 Bern - CHF 5’170 inkl. NK pro Monat",OFFICE,4562,608,365,16,1805,https://flatfox.ch/de/wohnung/looslistrasse-15-3027-bern/1376178/,B_buero_gewerbe/1376178-bern-365m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1736.0,Cantonul Berna,3084,Wabern,"Funkstrasse 104, 3084 Wabern","Funkstrasse 104, 3084 Wabern - CHF 242 inkl. NK pro m² / Jahr",OFFICE,200,42,78,10,1378,https://flatfox.ch/de/wohnung/funkstrasse-104-3084-wabern/1502822/,B_buero_gewerbe/1502822-wabern-78m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1736.0,Cantonul Berna,3084,Wabern,"Funkstrasse 104, 3084 Wabern","Funkstrasse 104, 3084 Wabern - CHF 243 inkl. NK pro m² / Jahr",OFFICE,200,43,79,10,1376,https://flatfox.ch/de/wohnung/funkstrasse-104-3084-wabern/1502828/,B_buero_gewerbe/1502828-wabern-79m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1736.0,Berna (oraș),3006,Bern,"Ostermundigenstrasse 93, 3006 Bern","Ostermundigenstrasse 93, 3006 Bern - auf Anfrage",OFFICE,,,109,2,1794,https://flatfox.ch/de/wohnung/ostermundigenstrasse-93-3006-bern/84895995/,B_buero_gewerbe/84895995-bern-109m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1736.0,Berna (oraș),3008,Bern,"Effingerstrasse 55, 3008 Bern","Effingerstrasse 55, 3008 Bern - CHF 2’690 inkl. NK pro Monat",COMMERCIAL,2210,480,166,6,1280,https://flatfox.ch/de/wohnung/effingerstrasse-55-3008-bern/86250352/,B_buero_gewerbe/86250352-bern-166m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1736.0,Cantonul Berna,2503,Biel/Bienne,"Zentralstrasse 99, 2503 Biel/Bienne","Zentralstrasse 99, 2503 Biel/Bienne - CHF 3’210",SHOP,2800,410,105,11,3977,https://flatfox.ch/de/wohnung/zentralstrasse-99-2503-bielbienne/86254562/,B_buero_gewerbe/86254562-biel-bienne-105m-ladenflaeche
A_praxis_medical,Praxis / cabinet medical / terapie,da,1732.0,Cantonul Berna,3110,Münsingen,"Thunstrasse 26, 3110 Münsingen","Thunstrasse 26, 3110 Münsingen - CHF 2’500",OFFICE,,,180,17,1378,https://flatfox.ch/de/wohnung/thunstrasse-26-3110-munsingen/85559528/,A_praxis_medical/85559528-muensingen-180m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1732.0,Berna (oraș),3005,Bern,"Hallwylstrasse 48, 3005 Bern","Hallwylstrasse 48, 3005 Bern - CHF 2’920",OFFICE,2720,200,93,12,2425,https://flatfox.ch/de/wohnung/hallwylstrasse-48-3005-bern/86232643/,B_buero_gewerbe/86232643-bern-93m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1731.0,Berna (oraș),3008,Bern,"Murtenstrasse 143, 3008 Bern","Murtenstrasse 143, 3008 Bern - CHF 220 exkl. NK pro m² / Jahr",OFFICE,220,,1068,10,1729,https://flatfox.ch/de/wohnung/murtenstrasse-143-3008-bern/86197041/,B_buero_gewerbe/86197041-bern-1068m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1728.0,Cantonul Berna,3098,Köniz,"Landorfstrasse 12, 3098 Köniz","Landorfstrasse 12, 3098 Köniz - auf Anfrage",COMMERCIAL,,,144,10,1466,https://flatfox.ch/de/wohnung/landorfstrasse-12-3098-koniz/1401053/,B_buero_gewerbe/1401053-koeniz-144m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1728.0,Berna (oraș),3006,Bern,"Ostermundigenstr. 93a, 3006 Bern","Ostermundigenstr. 93a, 3006 Bern - auf Anfrage",COMMERCIAL,,,522,2,1833,https://flatfox.ch/de/wohnung/ostermundigenstr-93a-3006-bern/84896019/,B_buero_gewerbe/84896019-bern-522m-gewerbe
A_praxis_medical,Praxis / cabinet medical / terapie,da,1725.0,Berna (oraș),3007,Bern,"Konsumstrasse 13, 3007 Bern","Konsumstrasse 13, 3007 Bern - CHF 2’010 inkl. NK pro Monat",OFFICE,1760,250,,12,918,https://flatfox.ch/de/wohnung/konsumstrasse-13-3007-bern/85849912/,A_praxis_medical/85849912-bern-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1724.0,Berna (oraș),3018,Bern,"Wangenstrasse 86a, 3018 Bern","Wangenstrasse 86a, 3018 Bern - CHF 3’809 inkl. NK pro Monat",OFFICE,,780,235,11,1301,https://flatfox.ch/de/wohnung/wangenstrasse-86a-3018-bern/86098354/,B_buero_gewerbe/86098354-bern-235m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1724.0,Berna (oraș),3018,Bern,"Wangenstrasse 86a, 3018 Bern","Wangenstrasse 86a, 3018 Bern - CHF 2’198 inkl. NK pro Monat",OFFICE,,390,117,11,1389,https://flatfox.ch/de/wohnung/wangenstrasse-86a-3018-bern/86098358/,B_buero_gewerbe/86098358-bern-117m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1723.0,Cantonul Berna,2502,Biel,"Unterer Quai 43, 2502 Biel","Unterer Quai 43, 2502 Biel - CHF 1’100",ATELIER,800,300,,12,2847,https://flatfox.ch/de/wohnung/unterer-quai-43-2502-biel/85956825/,B_buero_gewerbe/85956825-biel-atelier
A_praxis_medical,Praxis / cabinet medical / terapie,da,1722.0,Cantonul Berna,3084,Wabern,"Werkstrasse 20, 3084 Wabern","Werkstrasse 20, 3084 Wabern - CHF 225 inkl. NK pro m² / Jahr",OFFICE,195,30,200,9,1739,https://flatfox.ch/de/wohnung/werkstrasse-20-3084-wabern/84797173/,A_praxis_medical/84797173-wabern-200m-buero
A_praxis_medical,Praxis / cabinet medical / terapie,da,1722.0,Cantonul Berna,3084,Wabern,"Werkstrasse 20, 3084 Wabern","Werkstrasse 20, 3084 Wabern - CHF 210 inkl. NK pro m² / Jahr",OFFICE,180,30,400,9,1735,https://flatfox.ch/de/wohnung/werkstrasse-20-3084-wabern/84797206/,A_praxis_medical/84797206-wabern-400m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1721.0,Berna (oraș),3011,Bern,"Aarbergergasse 33, 3011 Bern","Aarbergergasse 33, 3011 Bern - auf Anfrage",OFFICE,,,,8,850,https://flatfox.ch/de/wohnung/aarbergergasse-33-3011-bern/1717613/,B_buero_gewerbe/1717613-bern-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1720.0,Berna (oraș),3014,Bern,"Hilfikerstrasse 4, 3014 Bern","Hilfikerstrasse 4, 3014 Bern - CHF 8’458",COMMERCIAL,7633,825,500,6,2169,https://flatfox.ch/de/wohnung/hilfikerstrasse-4-3014-bern/86094910/,B_buero_gewerbe/86094910-bern-500m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1716.0,Berna (oraș),3014,Bern,"Parkstrasse 11a, 3014 Bern","Parkstrasse 11a, 3014 Bern - CHF 2’400 inkl. NK pro Monat",SHOP,2200,200,146,11,1237,https://flatfox.ch/de/wohnung/parkstrasse-11a-3014-bern/85589720/,B_buero_gewerbe/85589720-bern-146m-ladenflaeche
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1716.0,Berna (oraș),3013,Bern,"Kasernenstrasse 27, 3013 Bern","Kasernenstrasse 27, 3013 Bern - CHF 220 inkl. NK pro m² / Jahr",OFFICE,220,,356,11,1733,https://flatfox.ch/de/wohnung/kasernenstrasse-27-3013-bern/85701015/,B_buero_gewerbe/85701015-bern-356m-buero
A_praxis_medical,Praxis / cabinet medical / terapie,da,1716.0,Cantonul Berna,4915,St. Urban,"Obertor 6, 4915 St. Urban","Obertor 6, 4915 St. Urban - CHF 1’980",PRACTICE,1710,270,170,17,1171,https://flatfox.ch/de/wohnung/obertor-6-4915-st-urban/85989452/,A_praxis_medical/85989452-st-urban-170m-praxis
A_praxis_medical,Praxis / cabinet medical / terapie,da,1716.0,Cantonul Berna,4915,St. Urban,"Obertor 6, 4915 St. Urban","Obertor 6, 4915 St. Urban - CHF 1’980",COMMERCIAL,1710,270,170,17,1171,https://flatfox.ch/de/wohnung/obertor-6-4915-st-urban/85989457/,A_praxis_medical/85989457-st-urban-170m-gewerbe
A_praxis_medical,Praxis / cabinet medical / terapie,da,1716.0,Cantonul Berna,4915,St. Urban,"Obertor 6, 4915 St. Urban","Obertor 6, 4915 St. Urban - CHF 1’980",OFFICE,1710,270,170,17,1171,https://flatfox.ch/de/wohnung/obertor-6-4915-st-urban/85989460/,A_praxis_medical/85989460-st-urban-170m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1714.0,Cantonul Berna,2501,Biel/Bienne,"Zentralstrasse 63, 2501 Biel/Bienne","Zentralstrasse 63, 2501 Biel/Bienne - CHF 220",OFFICE,220,,771,13,3993,https://flatfox.ch/de/wohnung/zentralstrasse-63-2501-bielbienne/86045802/,B_buero_gewerbe/86045802-biel-bienne-771m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1713.0,Berna (oraș),3027,Bern,"Bethlehemstrasse 36, 3027 Bern","Bethlehemstrasse 36, 3027 Bern - CHF 2’995 inkl. NK pro Monat",OFFICE,2445,550,125,20,1863,https://flatfox.ch/de/wohnung/bethlehemstrasse-36-3027-bern/1612621/,B_buero_gewerbe/1612621-bern-125m-buero
